dt,AverageTemperature,AverageTemperatureUncertainty,Country,Year,CountryYear,AverTempYear,Code
41275,-3.406,0.452,Poland,2013,Poland2013,0.10408861,616
41275,9.71,0.441,Portugal,2013,Portugal2013,0.004641973,620
41275,24.644,0.28,Puerto Rico,2013,Puerto Rico2013,-0.008579356,630
41275,18.785,0.544,Qatar,2013,Qatar2013,0.008779027,634
41275,-1.684,0.469,Romania,2013,Romania2013,0.246819293,642
41275,-25.53,0.463,Russia,2013,Russia2013,-0.409542549,643
41275,20.408,0.316,Rwanda,2013,Rwanda2013,0.000474844,646
41275,25.326,0.336,Saint Kitts And Nevis,2013,Saint Kitts And Nevis2013,-0.009263703,659
41275,26.331,0.303,Saint Lucia,2013,Saint Lucia2013,-0.005149536,662
41275,-4.64,0.4,Saint Pierre And Miquelon,2013,Saint Pierre And Miquelon2013,0.331538577,666
41275,26.546,0.341,Saint Vincent And The Grenadines,2013,Saint Vincent And The Grenadines2013,-0.003879217,670
41275,26.97,0.62,Samoa,2013,Samoa2013,0.005692752,882
41275,7.609,0.208,San Marino,2013,San Marino2013,-0.015722929,674
41275,27.134,0.575,Sao Tome And Principe,2013,Sao Tome And Principe2013,-0.001311134,678
41275,16.947,0.407,Saudi Arabia,2013,Saudi Arabia2013,0.034459291,682
41275,24.503,0.425,Senegal,2013,Senegal2013,0.020809987,686
41275,0.589,0.424,Serbia,2013,Serbia2013,0.189720254,688
41275,27.152,0.596,Seychelles,2013,Seychelles2013,-0.008444578,690
41275,26.333,0.613,Sierra Leone,2013,Sierra Leone2013,-0.001645524,694
41275,26.836,0.36,Singapore,2013,Singapore2013,0.010656248,702
41275,-2.334,0.545,Slovakia,2013,Slovakia2013,0.1412195,703
41275,1.194,0.321,Slovenia,2013,Slovenia2013,0.066767083,705
41275,27.418,0.552,Solomon Islands,2013,Solomon Islands2013,-0.006190707,90
41275,26.025,0.974,Somalia,2013,Somalia2013,0.006782207,706
41275,23.637,0.526,South Africa,2013,South Africa2013,-0.051270877,710
41275,7.318,0.276,Spain,2013,Spain2013,-0.00920467,724
41275,26.314,0.275,Sri Lanka,2013,Sri Lanka2013,0.013587893,144
41275,23.967,0.682,Sudan,2013,Sudan2013,0.025786474,729
41275,26.706,0.595,Suriname,2013,Suriname2013,-0.008763678,740
41275,-10.443,0.846,Svalbard And Jan Mayen,2013,Svalbard And Jan Mayen2013,-0.311265623,744
41275,23.105,0.817,Swaziland,2013,Swaziland2013,-0.051953194,748
41275,-7.811,0.527,Sweden,2013,Sweden2013,0.125033485,752
41275,-0.806,0.318,Switzerland,2013,Switzerland2013,-0.056777877,756
41275,-9.649,0.961,Tajikistan,2013,Tajikistan2013,0.342004362,762
41275,24.16,0.526,Tanzania,2013,Tanzania2013,-0.021834608,834
41275,24.373,0.326,Thailand,2013,Thailand2013,0.045625539,764
41275,27.506,1.008,Togo,2013,Togo2013,0.001852404,768
41275,25.958,0.462,Tonga,2013,Tonga2013,0.015317001,776
41275,25.951,0.554,Trinidad And Tobago,2013,Trinidad And Tobago2013,-0.001454627,780
41275,12.004,0.4,Tunisia,2013,Tunisia2013,0.019068331,788
41275,2.103,0.416,Turkey,2013,Turkey2013,0.137478375,792
41275,4.455,0.332,Turkmenistan,2013,Turkmenistan2013,0.189937616,795
41275,24.875,0.339,Uganda,2013,Uganda2013,0.007582324,800
41275,-3.47,0.527,Ukraine,2013,Ukraine2013,0.32773024,804
41275,19.793,0.387,United Arab Emirates,2013,United Arab Emirates2013,0.004868279,784
41275,4.354,0.37,United Kingdom,2013,United Kingdom2013,-0.07642958,826
41275,-2.155,0.185,United States,2013,United States2013,0.15807428,840
41275,23.521,0.535,Uruguay,2013,Uruguay2013,-0.04829922,858
41275,0.346,0.414,Uzbekistan,2013,Uzbekistan2013,0.230328325,860
41275,25.403,0.43,Venezuela,2013,Venezuela2013,-0.003670298,862
41275,17.461,0.996,Western Sahara,2013,Western Sahara2013,0.014325026,732
41275,21.567,0.68,Yemen,2013,Yemen2013,0.028218695,887
41275,23.072,1.19,Zambia,2013,Zambia2013,-0.043361504,894
41275,23.812,1.218,Zimbabwe,2013,Zimbabwe2013,-0.053925655,716
